train_upto,test_month,days,AUC,AP,Sharpe,MDD,CAGR_est
2015-10-30,2015-11,20,0.7186904761904761,0.5266777647933896,2.5341034648045393,-0.028232105204598536,0.3319436180122102
2015-11-30,2015-12,22,0.5207595434868162,0.3028061225388075,0.9935190969143888,-0.014371435502854382,0.08662704694936307
2015-12-31,2016-01,19,0.5292177812953436,0.3112264588094774,-5.527460581754721,-0.0675772101213018,-0.5310828546691547
2016-01-29,2016-02,20,0.6829761904761905,0.49439037464998675,-0.04158686044741005,-0.05675896668787084,-0.006894486524039234
2016-02-29,2016-03,22,0.5488980716253444,0.32295908236924353,11.334809308457505,-0.0028266551343751937,0.888391705430104
2016-03-31,2016-04,21,0.4218766871828096,0.2789631525256359,-3.4116834514048318,-0.03933162674352232,-0.22719080097965905
2016-04-29,2016-05,21,0.48655652737285393,0.29022129041063394,3.8049992236950643,-0.019703204772936966,0.372758555128919
2016-05-31,2016-06,22,0.5939590712317985,0.3663558795515529,2.2863407357449286,-0.02709108326903212,0.2438517927535464
2016-06-30,2016-07,20,0.569047619047619,0.3764139760378214,10.413230919927711,-0.009021271224696977,1.1189570508869946
2016-07-29,2016-08,23,0.6099558916194077,0.4329891018681643,1.666415687885874,-0.010670375021163987,0.12239696653439136
2016-08-31,2016-09,21,0.6051182377712989,0.407928643490306,0.19573233622709763,-0.032121444590072344,0.01762771508579064
2016-09-30,2016-10,21,0.5312601230968578,0.3010721680346484,0.7442594312779851,-0.012378183324902366,0.048884980270477385
2016-10-31,2016-11,21,0.6705539358600583,0.4318132164015502,4.00780358577325,-0.021977258048835775,0.9402756218662398
2016-11-30,2016-12,21,0.5862217903034228,0.43786547296493045,7.60492697204739,-0.009297685677814754,0.8379445594352213
2016-12-30,2017-01,20,0.6598809523809523,0.463325608052236,5.2163414539501325,-0.011406944453023824,0.5375836562963994
2017-01-31,2017-02,19,0.5143120960295475,0.3694859488071449,-0.011198322700230969,-0.01784181519897825,-0.001121384075494003
2017-02-28,2017-03,23,0.40507696462327836,0.25514231058356374,2.2167446848465078,-0.013732770308770736,0.11158074710869226
2017-03-31,2017-04,19,0.3949347051840127,0.3172282324238484,-1.2684922357941533,-0.0223897222362216,-0.08301211954519905
2017-04-28,2017-05,22,0.508461235733963,0.3730603842016297,2.645650912688874,-0.020269031217981754,0.3977597355178426
2017-05-31,2017-06,22,0.5816607634789454,0.3761112403856121,1.2138553078615797,-0.03649115563775909,0.18408452492882743
2017-06-30,2017-07,20,0.594047619047619,0.40138377646213497,4.489964926316939,-0.0223923504886176,0.5194482412144636
2017-07-31,2017-08,23,0.615987037537132,0.3935169602022689,2.148019996475302,-0.018477815014120328,0.23001411043034325
2017-08-31,2017-09,20,0.5810714285714286,0.40772624021442105,-1.379119434021613,-0.018870418922198026,-0.09913656168261276
2017-09-29,2017-10,22,0.6133412042502951,0.39726496140754486,5.951853681353574,-0.010543129938566658,0.4024369102200662
2017-10-31,2017-11,21,0.5846020948061764,0.3549260151559045,1.0656055271875289,-0.01645144598997099,0.09050863810209742
2017-11-30,2017-12,20,0.6633333333333334,0.4596348442418553,1.0648620871677192,-0.016965298542798147,0.08636849126362289
2017-12-29,2018-01,21,0.5400064787819889,0.35695292407881785,5.640862126020305,-0.014550053213955904,0.6559787458133892
2018-01-31,2018-02,19,0.5269753330695159,0.30479707433775394,0.5060219551849336,-0.03369868557987321,0.08856345269424404
2018-02-28,2018-03,21,0.4429327286470143,0.2598878177760788,-3.3229112535095617,-0.051425277195701814,-0.2947004846715122
2018-03-29,2018-04,21,0.6210992333441314,0.40333748981376216,4.05016546692523,-0.02743246549524547,0.7028714317777467
2018-04-30,2018-05,22,0.6478748524203071,0.4320240952251042,6.8924357877791556,-0.007061816660432738,0.730392545107909
2018-05-31,2018-06,21,0.32415505884893636,0.22028481417597992,-2.1415794729687705,-0.031447757595877264,-0.14983834664237727
2018-06-29,2018-07,21,0.6195875175467012,0.40897259883613796,7.09658921810358,-0.005881680675045575,0.8041861890892008
2018-07-31,2018-08,23,0.46214780808353584,0.27172759732067897,1.6754433269255338,-0.033994738666589565,0.16278334821047014
2018-08-31,2018-09,19,0.6731301939058171,0.47453688783851633,0.5575799379910942,-0.01824589031866508,0.06877709097781826
2018-09-28,2018-10,23,0.49392384553065083,0.386760891175842,-2.902703017624942,-0.07846253129762415,-0.42443224583348027
2018-10-31,2018-11,21,0.6395637620127417,0.44657871685437955,-0.7459640725096717,-0.05874994833926393,-0.12821936671557166
2018-11-30,2018-12,19,0.583432264872708,0.407981867360807,-1.6580551738348124,-0.06534910131092342,-0.27759955863424723
2018-12-31,2019-01,21,0.5918367346938775,0.40516427987739,4.168401062292048,-0.023915447428595703,1.4030526320530026
2019-01-31,2019-02,19,0.5553357076902783,0.391817475125561,1.5163587977625674,-0.00946538964608286,0.08782978385203832
2019-02-28,2019-03,21,0.6381600259151279,0.44418151522495336,4.388262540790947,-0.013032376083070197,0.4237514659674604
2019-03-29,2019-04,21,0.48212935968038007,0.318914018664413,0.06395596304957074,-0.01576021496290215,0.005294112496984527
2019-04-30,2019-05,22,0.5537190082644627,0.37744574723120927,-4.640994032718898,-0.057399406579331076,-0.40880576005133973
2019-05-31,2019-06,20,0.5153571428571428,0.35467995414209524,9.018595367166366,-0.006728568919316952,1.3381146577108307
2019-06-28,2019-07,22,0.5221369539551357,0.29498908168592713,4.325928997432011,-0.010540986953721129,0.38541915330851917
2019-07-31,2019-08,22,0.4231601731601732,0.2834003606276463,0.7088365559383286,-0.023944952122252013,0.12341682573393098
2019-08-30,2019-09,20,0.5691666666666666,0.3768673509821566,3.196255508930386,-0.017606511013750784,0.3089229129471136
2019-09-30,2019-10,23,0.5263300027005131,0.30799423788179014,4.559025436350039,-0.01054450459701972,0.4560664008483928
2019-10-31,2019-11,20,0.5460714285714287,0.3313645671407191,3.950895900107395,-0.013030347454121674,0.27351200243739493
2019-11-29,2019-12,21,0.6357844725191664,0.38159095522794667,11.220010269615981,-0.004878360761433939,0.712808502850033
2019-12-31,2020-01,21,0.5524241442608789,0.3289212299597256,4.677060003483424,-0.011928932898381824,0.430396542171553
2020-01-31,2020-02,19,0.6327661258409181,0.4635463600836689,-2.411673133367784,-0.07266465003197752,-0.3657493060529837
2020-02-28,2020-03,22,0.5069854388036206,0.341296541310597,-0.6122210751185823,-0.13386069518926072,-0.2324787205386859
2020-03-31,2020-04,21,0.40470791491199654,0.283304104244807,5.803314009622911,-0.023822956696979286,2.114931804087995
2020-04-30,2020-05,20,0.4747619047619048,0.28661964919845334,3.9954981962260487,-0.022461913452959437,0.5519306403581246
2020-05-29,2020-06,22,0.5631641086186541,0.35348477740467366,3.4034975774144853,-0.020616354860953468,0.5821017361081335
2020-06-30,2020-07,22,0.5782172373081464,0.3662838791322358,4.371385632163347,-0.01911328331674362,0.7449947269072288
2020-07-31,2020-08,21,0.5652737285390346,0.3618003128519611,6.9929280447471935,-0.021879613446182358,1.6830673806094687
2020-08-31,2020-09,21,0.4115106360004319,0.2741700946287952,-1.4260587715973165,-0.06645230561058665,-0.2556736629259403
2020-09-30,2020-10,22,0.5006887052341598,0.30067998636696847,-0.8292379976491229,-0.02705067235292495,-0.0986379574160825
2020-10-30,2020-11,20,0.3972619047619048,0.24781740443310357,7.267443234946723,-0.021280142688256006,1.3112460198816787
2020-11-30,2020-12,22,0.40092483274301455,0.2644853192666975,-1.8167113292781176,-0.01738586244070594,-0.10639599578727033
2020-12-31,2021-01,19,0.47698192850547416,0.28659036467588483,3.3700198363292295,-0.01982362064558052,0.4382717618720695
2021-01-29,2021-02,19,0.5040232159345732,0.36684014780071017,-2.211716651758616,-0.03165851556299759,-0.2099188091669365
2021-02-26,2021-03,23,0.5223692501575299,0.3437976671957227,1.4656766211954253,-0.03983685513275548,0.3102435682459017
2021-03-31,2021-04,21,0.44358060684591294,0.2711445672365517,-0.3818929521197938,-0.025501617543965297,-0.03881438552901917
2021-04-30,2021-05,20,0.5221428571428572,0.38573972686344266,-0.5572994086411688,-0.030176079135059264,-0.05186643861120532
2021-05-28,2021-06,22,0.5556867375049194,0.3242939504094098,3.6520158694523883,-0.005694114788445293,0.29249629677213074
2021-06-30,2021-07,21,0.6714177734585897,0.47334362123490953,2.735658549835318,-0.024447681689792132,0.2660044600927649
2021-07-30,2021-08,22,0.5458480913026368,0.3618096138811968,5.214623723162942,-0.017262332333980272,0.5888211620008998
2021-08-31,2021-09,21,0.5242414426087896,0.3202576010773629,-5.2755875333170525,-0.04899369153029123,-0.36849528009291754
2021-09-30,2021-10,21,0.47014361300075586,0.2924985446685843,8.467551919115635,-0.00639327548696323,0.6289661661878765
2021-10-29,2021-11,21,0.6615916207752943,0.4343483806602468,1.312064746137996,-0.02679065374146099,0.19045786784069563
2021-11-30,2021-12,22,0.5103305785123966,0.3042234542839921,1.6457393787540893,-0.02125366959186212,0.25133329381840985
2021-12-31,2022-01,20,0.523452380952381,0.33778632070132236,-4.276902293623306,-0.08548258218978544,-0.5113681835264172
2022-01-31,2022-02,19,0.3648595172140879,0.23496089507532927,-0.7757928603481975,-0.059969002604211986,-0.13191559876444592
2022-02-28,2022-03,23,0.5063462057790981,0.3419540173833149,2.951719624055789,-0.03828247802872372,0.663613985536053
